School_Name,School_ID,AR_Type,SSSSTO2_2,BPSP67_8
Kilmer K-8 School,4033,"=""K-8""",0,1.0
"Alighieri, Dante Montessori",4321,"=""K-8""",,
Orchard Gardens K-8 School,4680,"=""K-8""",,
Mildred Avenue K-8 School,4671,"=""K-8""",,
Boston Teachers Union K-8 Pilot,4661,"=""K-8""",,
Condon K-8,4630,"=""K-8""",,
Jackson/Mann K-8 School,4620,"=""K-8""",,
Young Achievers K-8 School,4600,"=""K-8""",,
Perry K-8 School,4592,"=""K-8""",,
Trotter K-8 School,4580,"=""K-8""",,
Tobin K-8 School,4570,"=""K-8""",,
Ohrenberger School,4410,"=""K-8""",,
Murphy K-8 School,4400,"=""K-8""",,
Eliot K-8 Innovation School,4381,"=""K-8""",,
McKay K-8 School,4360,"=""K-8""",,
UP Academy Dorchester,4345,"=""K-8""",,
Lyndon K-8 School,4331,"=""K-8""",,
Umana Academy,4323,"=""K-8""",,
Lee K-8 School,4290,"=""K-8""",,
Mission Hill K-8 School,4285,"=""K-8""",,
Warren/Prescott K-8 School,4283,"=""K-8""",,
Curley K-8 School,4272,"=""K-8""",,
Hurley K-8 School,4260,"=""K-8""",,
Higginson/Lewis K-8,4242,"=""K-8""",,
Hennigan K-8 School,4230,"=""K-8""",,
Haley Pilot School,4210,"=""K-8""",,
Roosevelt K-8 School,4192,"=""K-8""",,
Edison K-8 School,4178,"=""K-8""",,
Lyon K-8 School,4171,"=""K-8""",,
Gardner Pilot Academy,4160,"=""K-8""",,
Greenwood Sarah K-8 School,4130,"=""K-8""",,
King K-8 School,4055,"=""K-8""",,
Hernandez K-8,4053,"=""K-8""",,
Mattapan EES,4691,"=""K-5""",0,1.0
Shaw Elementary,4670,"=""K-5""",,
Quincy Elementary,4650,"=""K-5""",,
Blackstone Innovation School,4640,"=""K-5""",,
Baldwin Early Learning Pilot Academy,4621,"=""K-5""",,
Tynan Elementary,4590,"=""K-5""",,
Philbrick Elementary,4561,"=""K-5""",,
Sumner Elementary,4560,"=""K-5""",,
O'Donnell Elementary,4543,"=""K-5""",,
Kennedy Patrick J. Elementary,4541,"=""K-5""",,
Clap Innovation School,4531,"=""K-5""",,
Russell Elementary,4530,"=""K-5""",,
Haynes Early Education Center,4460,"=""K-5""",,
East Boston Early Education Center,4450,"=""K-5""",,
Ellison/Parks Early Education School,4440,"=""K-5""",,
Kenny Elementary,4390,"=""K-5""",,
Mendell Elementary,4370,"=""K-5""",,
Adams Elementary,4361,"=""K-5""",,
Otis Elementary,4322,"=""K-5""",,
Manning Elementary,4311,"=""K-5""",,
Lee Academy,4291,"=""K-5""",,
Harvard/Kent Elementary,4280,"=""K-5""",,
Kennedy John F Elementary,4270,"=""K-5""",,
UP Academy Holland,4250,"=""K-5""",,
Higginson K-2,4241,"=""K-5""",,
Ellis Elementary,4240,"=""K-5""",,
West Zone Early Learning Center,4231,"=""K-5""",,
Channing Elementary,4201,"=""K-5""",,
Grew Elementary,4200,"=""K-5""",,
Winship Elementary,4173,"=""K-5""",,
Taylor Elementary,4151,"=""K-5""",,
Everett Elementary,4140,"=""K-5""",,
Dudley Street Neighborhood Charter,4123,"=""K-5""",,
Mason Elementary,4121,"=""K-5""",,
Hale Elementary,4113,"=""K-5""",,
Dever Elementary,4100,"=""K-5""",,
Holmes Elementary,4084,"=""K-5""",,
Mozart Elementary,4082,"=""K-5""",,
Bates Elementary,4081,"=""K-5""",,
Conley Elementary,4080,"=""K-5""",,
Chittick Elementary,4070,"=""K-5""",,
Bradley Elementary,4062,"=""K-5""",,
Guild Elementary,4061,"=""K-5""",,
Winthrop Elementary,4052,"=""K-5""",,
Beethoven Elementary,4030,"=""K-5""",,
Perkins Elementary,4022,"=""K-5""",,
Horace Mann School for the Deaf Hard of Hearing,4610,"=""K-12""",,
Henderson Inclusion School K-12,1140,"=""K-12""",,
Greater Egleston High School,1430,"=""Alt""",,
Boston Day/Evening Academy,1410,"=""Alt""",,
Community Academy,1340,"=""Alt""",,
Boston Collaborative High School,1311,"=""Alt""",,
Boston Adult Tech Acad,1215,"=""Alt""",,
Carter School,4261,"=""9-12""",0,1.0
Boston International/ Newcomers Academy,1990,"=""9-12""",0,1.0
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",,
Boston Arts Academy,1420,"=""9-12""",,
McKinley Prep High School,1293,"=""9-12""",,
New Mission High School,1285,"=""9-12""",,
Fenway High School,1265,"=""9-12""",,
West Roxbury Academy,1256,"=""9-12""",,
Urban Science Academy,1253,"=""9-12""",,
Another Course to College,1230,"=""9-12""",,
Madison Park Technical Vocational High,1210,"=""9-12""",,
Snowden International High School,1200,"=""9-12""",,
Boston Community Leadership Academy,1195,"=""9-12""",,
Lyon High School,1171,"=""9-12""",,
Excel High School,1162,"=""9-12""",,
Burke High School,1120,"=""9-12""",,
Community Academy of Science and Health,1103,"=""9-12""",,
English High School,1080,"=""9-12""",,
East Boston High School,1070,"=""9-12""",,
Dorchester Academy,1064,"=""9-12""",,
Muniz Academy,1053,"=""9-12""",,
Charlestown High School,1050,"=""9-12""",,
Brighton High School,1040,"=""9-12""",,
UP Academy Boston,2450,"=""6-8""",,
Frederick Pilot Middle School,2360,"=""6-8""",,
McCormack Middle School,2190,"=""6-8""",,
Irving Middle School,2140,"=""6-8""",,
Timilty Middle School,2040,"=""6-8""",,
Edwards Middle School,2010,"=""6-8""",,
McKinley Middle,1292,"=""6-8""",,
Boston Green Academy,1470,"=""6-12""",,
TechBoston Academy 6-12,1460,"=""6-12""",,
Quincy Upper School,1450,"=""6-12""",,
Dearborn 6-12 STEM Academy,1260,"=""6-12""",,
O'Bryant School of Math & Science,1030,"=""6-12""",,
Boston Latin Academy,1020,"=""6-12""",,
Boston Latin School,1010,"=""6-12""",,
